protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.21428	0.0	80	586	26	11	6	7	6	LIGHT	2.8088e+07	5.73566e+06	1.0	0.19826	0.0	0.0552757
2	Q8BH26	Transmembrane protein 251 OS=Mus musculus OX=10090 GN=Tmem251 PE=2 SV=1	TMEM251	19049.7	5.16545	0.0235265	26	26	1	1	0	1	1	LIGHT	170915.0	0.0	1.0	0.0	0.0	0.0
3	B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	60942.7	4.90212	0.0	83	198	7	4	5	1	1	LIGHT	182670.0	0.0	1.0	0.0	0.0	0.0
4	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.76735	0.0	122	2598	88	54	25	32	32	LIGHT	3.57637e+07	2.01543e+07	1.0	1.42613	0.0	1.80153
5	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	TSEN54	59787.9|55503.7	5.96975	0.0	89	466	14	9	10	2	2	LIGHT	1.72215e+06	1.46353e+06	1.0	3.84072	0.0	6.61797
6	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	MTND3	13267.0	5.16974	0.0	65	65	2	1	0	1	1	LIGHT	345661.0	0.0	1.0	0.0	0.0	0.0
7	A0A1B0GT05|O35153	Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	GM45785|BET1L	10496.2|12477.4	5.73356	0.0	124	305	9	5	3	2	2	LIGHT	2.1219e+06	743890.0	1.0	0.353594	0.0	0.107087
8	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	6.29258	0.0	143	535	15	8	8	2	2	LIGHT	2.69194e+06	7.67875e+06	1.0	2.84452	0.0	0.183123
9	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.56521	0.000697837	42	104	5	3	1	1	1	LIGHT	379413.0	441796.0	1.0	1.16442	0.0	0.0
10	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.67115	0.000300978	50	239	12	7	4	3	3	LIGHT	3.79867e+06	1.19389e+06	1.0	0.345569	0.0	0.126479
11	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	HCCS	31300.0	5.54134	0.0002918	47	167	8	4	4	1	1	LIGHT	2.97106e+06	684912.0	1.0	0.230528	0.0	0.0
12	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	MAPK12	42187.6	5.78661	0.0	101	417	17	7	6	4	4	LIGHT	8.48434e+06	1.38452e+06	1.0	0.168422	0.0	0.135874
13	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	GALNT1	65125.8	6.26807	0.0	91	568	22	10	7	7	7	LIGHT	1.48994e+07	4.05502e+06	1.0	0.260762	0.0	0.206094
14	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	AIP	38037.3	6.28257	0.0	70	424	20	11	7	7	7	LIGHT	1.50869e+07	3.60501e+06	1.0	0.251182	0.0	0.163619
15	O08914	Fatty-acid amide hydrolase 1 OS=Mus musculus OX=10090 GN=Faah PE=1 SV=1	FAAH	64206.6	5.04672	0.0285679	24	24	1	1	0	1	1	LIGHT	185822.0	0.0	1.0	0.0	0.0	0.0
16	O08917	Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1	FLOT1	47768.7	5.80072	0.0	96	465	11	10	9	2	2	LIGHT	2.65927e+06	572830.0	1.0	0.213135	0.0	0.0220716
17	O88587|O88587-2	Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt PE=1 SV=2|Isoform Soluble of Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt	COMT	29695.4|24919.6	6.35828	0.000297796	49	107	5	3	3	2	2	LIGHT	7.3233e+06	1.26276e+06	1.0	0.170956	0.0	0.046354
18	D3Z375|Q62048|Q62048-2	Phosphoprotein-enriched in astrocytes 15A (Fragment) OS=Mus musculus OX=10090 GN=Pea15a PE=1 SV=1|Astrocytic phosphoprotein PEA-15 OS=Mus musculus OX=10090 GN=Pea15 PE=1 SV=1|Isoform 2 of Astrocytic phosphoprotein PEA-15 OS=Mus musculus OX=10090 GN=Pea15	PEA15A|PEA15	10747.4|15101.8|12593.6	5.56135	0.000831947	41	41	1	1	0	1	1	LIGHT	751108.0	152485.0	1.0	0.203013	0.0	0.0
19	Q9CZ62|Q9CZ62-2	Centrosomal protein of 97 kDa OS=Mus musculus OX=10090 GN=Cep97 PE=1 SV=1|Isoform 2 of Centrosomal protein of 97 kDa OS=Mus musculus OX=10090 GN=Cep97	CEP97	95722.4|87868.2	5.75425	0.0	139	620	23	9	9	4	4	LIGHT	4.49524e+06	1.2233e+06	1.0	0.261596	0.0	0.130701
