protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	A0A087WWG1|E9PIT5|Q8TE77|Q8TE77-2|Q8TE77-3	Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3|Isoform 3 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	36130.2|24894.6|73292.7|52965.7|57288.6	5.25023	0.0148086	30	30	1	1	0	1	1	LIGHT	333098.0	0.0	1.0	0.0	0.0	0.0
2	###REV###E7ETR9	Reverse sequence, was Protein MROH8 OS=Homo sapiens OX=9606 GN=MROH8 PE=1 SV=2	###MROH8###	108315.0	6.10629	0.0188782	28	28	1	1	0	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
3	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.27434	0.0	84	300	10	4	3	3	3	LIGHT	2.4938e+06	2.05385e+06	1.0	0.840303	0.0	0.171107
4	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	7.54924	0.0	86	648	96	15	6	25	14	LIGHT	5.76805e+08	2.21102e+08	1.0	0.378021	0.0	1.2999
5	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.1098	0.0	107	1285	49	21	14	15	14	LIGHT	2.05925e+07	1.15914e+07	1.0	0.611917	0.0	0.395319
6	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.28708	0.0	62	304	17	9	5	6	6	LIGHT	1.34208e+07	7.91718e+06	1.0	0.596452	0.0	0.281316
7	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1	MRPL3	41886.9|40897.9|38893.2	6.03713	0.0	67	175	8	4	3	2	2	LIGHT	2.94709e+06	1.7914e+06	1.0	0.608991	0.0	0.0305342
8	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2	WDR76	63255.7|70466.4	5.15374	0.016996	29	29	2	1	2	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
9	F5H658|Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1|ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1	DHX8	134943.0|140082.0	5.74523	0.0	65	655	45	17	12	10	10	LIGHT	6.58655e+06	6.32e+06	1.0	0.966289	0.0	0.488323
10	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1	MCM6	93800.6	6.86943	0.0	87	1666	110	34	25	29	25	LIGHT	2.09985e+08	6.48043e+07	1.0	0.319178	0.0	0.170683
11	O43395	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2	PRPF3	77652.0	6.66997	0.0	73	579	31	13	7	12	11	LIGHT	4.69321e+07	1.40251e+07	1.0	0.314817	0.0	0.280385
12	Q96CU9|Q96CU9-3	FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1 PE=1 SV=2|Isoform 3 of FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1	FOXRED1	54119.8|52413.8	5.89474	0.000385951	52	295	16	7	2	6	6	LIGHT	5.4019e+06	2.61219e+06	1.0	0.51076	0.0	0.279825
13	Q9Y6Q5|Q9Y6Q5-2	AP-1 complex subunit mu-2 OS=Homo sapiens OX=9606 GN=AP1M2 PE=1 SV=4|Isoform 2 of AP-1 complex subunit mu-2 OS=Homo sapiens OX=9606 GN=AP1M2	AP1M2	48192.2|48293.3	5.36642	0.000228938	60	175	9	2	3	2	2	LIGHT	1.2527e+06	0.0	1.0	0.0	0.0	0.0
