protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	7.02118	0.0	65	270	11	5	3	4	4	LIGHT	5.54546e+07	1.23195e+07	1.0	0.22742	0.0	0.0201224
2	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.23063	0.0	65	493	19	13	8	7	6	LIGHT	3.50191e+07	9.36876e+06	1.0	1.28297	0.0	2.16071
3	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.39056	0.0	66	202	7	5	1	4	4	LIGHT	1.3774e+07	2.33541e+07	1.0	1.69589	0.0	3.89829
4	Q8BT07|Q8BT07-2	Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55 PE=1 SV=2|Isoform 2 of Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55	Cep55	54239.1|54111.0	5.38233	0.0	77	202	6	5	5	1	1	LIGHT	411652.0	81016.6	1.0	0.196809	0.0	0.0
5	Q9CRA9|Q9CRA9-2	FGFR1 oncogene partner 2 homolog OS=Mus musculus OX=10090 GN=Fgfr1op2 PE=1 SV=1|Isoform 2 of FGFR1 oncogene partner 2 homolog OS=Mus musculus OX=10090 GN=Fgfr1op2	Fgfr1op2	29527.0|25048.8	5.76309	0.0	58	99	3	2	1	1	1	LIGHT	886698.0	180062.0	1.0	0.203071	0.0	0.0
6	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.57457	0.0	134	399	11	6	7	2	2	LIGHT	2.33373e+06	1.54515e+07	1.0	6.55383	0.0	0.218484
7	E9QLQ3|Q61409	Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde3b PE=1 SV=1|cGMP-inhibited 3',5'-cyclic phosphodiesterase B OS=Mus musculus OX=10090 GN=Pde3b PE=1 SV=2	Pde3b	123759.0|123844.0	5.59282	0.011168	29	29	1	1	0	1	1	LIGHT	604423.0	2.48865e+06	1.0	4.1174	0.0	0.0
8	A2AI05	NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1 PE=2 SV=1	Ndor1	67824.9	6.31803	0.000424809	51	77	3	2	2	1	1	LIGHT	2.87141e+06	648575.0	1.0	0.225874	0.0	0.0
9	###REV###P05532|###REV###P05532-2	Reverse sequence, was Mast/stem cell growth factor receptor Kit OS=Mus musculus OX=10090 GN=Kit PE=1 SV=3|Reverse sequence, was Isoform 2 of Mast/stem cell growth factor receptor Kit OS=Mus musculus OX=10090 GN=Kit	###Kit###	110527.0|110114.0	5.97163	0.00329289	38	62	2	1	1	1	1	LIGHT	1.4167e+06	0.0	1.0	0.0	0.0	0.0
10	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	Chst7	55302.8	5.94567	0.000775645	46	106	7	3	2	1	1	LIGHT	965619.0	1.4324e+06	1.0	1.4834	0.0	0.0
11	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	Emc7	26293.4	6.13051	0.00823828	31	54	5	2	2	1	1	LIGHT	1.64228e+06	0.0	1.0	0.0	0.0	0.0
12	Q9CQL4|V9GXI7	39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1|39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1	Mrpl20	17754.8|13130.1	6.28172	0.00148506	43	69	3	2	1	2	2	LIGHT	1.27948e+07	3.67411e+06	1.0	0.27282	0.0	0.12891
13	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	Hccs	31300.0	5.82693	0.0	53	151	8	4	5	1	1	LIGHT	1.46799e+06	265449.0	1.0	0.180825	0.0	0.0
14	Q8R349	Cell division cycle protein 16 homolog OS=Mus musculus OX=10090 GN=Cdc16 PE=1 SV=1	Cdc16	72212.6	6.94022	0.0	105	381	22	8	3	9	7	LIGHT	9.9794e+07	2.36345e+07	1.0	0.239964	0.0	0.0333993
15	A0A0G2JF16|A0A0G2JFK6|Q8R344	Coiled-coil domain-containing protein 12 (Fragment) OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=1|Coiled-coil domain-containing protein 12 (Fragment) OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=1|Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2	Ccdc12	15922.8|10055.5|18937.1	6.84063	0.00283839	40	40	2	1	0	1	1	LIGHT	1.08132e+07	1.86057e+06	1.0	0.172065	0.0	0.0
16	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	Mapk12	42187.6	6.67816	0.0	68	303	20	5	6	5	5	LIGHT	3.17197e+07	7.62546e+06	1.0	0.225464	0.0	0.138122
17	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	Galnt1	65125.8	6.48594	0.0	100	473	12	8	2	7	6	LIGHT	3.47631e+07	1.01917e+07	1.0	0.267739	0.0	0.105812
18	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	Aip	38037.3	6.7141	0.0	53	202	16	5	2	7	5	LIGHT	3.56844e+07	9.24806e+06	1.0	0.26464	0.0	0.0788596
19	O08917	Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1	Flot1	47768.7	5.95811	0.0	70	419	14	8	4	4	4	LIGHT	1.00964e+07	2.19018e+06	1.0	0.206834	0.0	0.0565295
20	O88587|O88587-2	Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt PE=1 SV=2|Isoform Soluble of Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt	Comt	29695.4|24919.6	6.23439	0.000424809	51	116	11	3	4	2	2	LIGHT	1.7751e+07	3.03065e+06	1.0	0.177843	0.0	0.0230228
21	D3Z375|Q62048|Q62048-2	Phosphoprotein-enriched in astrocytes 15A (Fragment) OS=Mus musculus OX=10090 GN=Pea15a PE=1 SV=1|Astrocytic phosphoprotein PEA-15 OS=Mus musculus OX=10090 GN=Pea15 PE=1 SV=1|Isoform 2 of Astrocytic phosphoprotein PEA-15 OS=Mus musculus OX=10090 GN=Pea15	Pea15a|Pea15	10747.4|15101.8|12593.6	5.4759	0.0	58	58	1	1	0	1	1	LIGHT	524869.0	0.0	1.0	0.0	0.0	0.0
22	###REV###B1AX39|###REV###B1AX39-3	Reverse sequence, was Zinc finger CCHC domain-containing protein 7 OS=Mus musculus OX=10090 GN=Zcchc7 PE=2 SV=1|Reverse sequence, was Isoform 2 of Zinc finger CCHC domain-containing protein 7 OS=Mus musculus OX=10090 GN=Zcchc7	###Zcchc7###	64215.2|26494.7	5.01855	0.021224	22	22	1	1	0	1	1	LIGHT	144747.0	0.0	1.0	0.0	0.0	0.0
23	Q8BZM1	Glomulin OS=Mus musculus OX=10090 GN=Glmn PE=1 SV=1	Glmn	68624.6	6.73681	0.0	87	452	16	10	5	8	7	LIGHT	3.66642e+07	5.14279e+06	1.0	0.136658	0.0	0.0490764
24	Q9CZ62|Q9CZ62-2	Centrosomal protein of 97 kDa OS=Mus musculus OX=10090 GN=Cep97 PE=1 SV=1|Isoform 2 of Centrosomal protein of 97 kDa OS=Mus musculus OX=10090 GN=Cep97	Cep97	95722.4|87868.2	6.21147	0.0	55	204	7	5	3	3	2	LIGHT	1.00204e+07	2.59985e+06	1.0	0.280444	0.0	0.0540578
25	A0A5F8MPX4|Q66GT5	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus OX=10090 GN=Ptpmt1 PE=1 SV=1|Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus OX=10090 GN=Ptpmt1 PE=1 SV=1	Ptpmt1	28570.8|22099.6	5.58212	0.000775645	46	46	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
26	Q4G5Y1	Kelch domain-containing protein 2 OS=Mus musculus OX=10090 GN=Klhdc2 PE=2 SV=3	Klhdc2	46506.4	5.57413	0.0125979	28	51	2	2	0	2	2	LIGHT	547721.0	1.28825e+06	1.0	2.34559	0.0	0.0392694
