protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.75373	0.0	69	332	12	5	5	3	3	LIGHT	4.03391e+06	1.41272e+06	1.0	0.345236	0.0	0.0863277
2	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	7.00404	0.0	78	527	84	13	11	20	11	LIGHT	4.60145e+08	9.32586e+07	1.0	0.179734	0.0	2.96299
3	H0Y985|Q6NXT6|Q6NXT6-2	Transmembrane anterior posterior transformation protein 1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=TAPT1 PE=1 SV=1|Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1 PE=1 SV=1|Isoform 2 of Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1	TAPT1	24840.6|64902.5|64187.1	5.10873	0.00593171	35	35	2	1	0	1	1	LIGHT	219446.0	665883.0	1.0	3.03439	0.0	0.0
4	A0A087WWG1|C9JUG3|Q8TE77|Q8TE77-2|Q8TE77-4	Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3|Isoform 4 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	36130.2|42912.1|73292.7|52965.7|42926.1	NA	0.0198764	27	27	1	1	0	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
5	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.30063	0.0	95	1235	55	24	18	14	14	LIGHT	2.7719e+07	6.48867e+06	1.0	0.229217	0.0	0.262899
6	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.39466	0.0	77	324	18	8	3	6	6	LIGHT	1.98002e+07	5.38522e+06	1.0	0.293975	0.0	0.177024
7	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2	WDR76	63255.7|70466.4	5.32567	0.0	60	95	2	2	1	1	1	LIGHT	485706.0	0.0	1.0	0.0	0.0	0.0
8	Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1	DHX8	140082.0	5.88405	0.0	99	869	39	19	12	11	11	LIGHT	1.36878e+07	5.27714e+06	1.0	0.340598	0.0	0.252954
9	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1	MCM6	93800.6	7.19104	0.0	85	1573	96	32	25	27	24	LIGHT	2.39358e+08	3.19403e+07	1.0	0.144845	0.0	0.083771
10	O43395	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2	PRPF3	77652.0	6.65795	0.0	85	616	36	13	12	9	9	LIGHT	5.81271e+07	7.79678e+06	1.0	0.143527	0.0	0.0865386
