protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.06157	0.0	57	239	13	5	2	5	4	LIGHT	1.37692e+07	6.23566e+06	1.0	0.45437	0.0	0.0138009
2	A0A0A6YWJ7|A0A0A6YXG8|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	26413.6|27224.0|60942.7	5.51553	0.0	63	63	2	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.817	0.0	106	2450	67	50	36	15	15	LIGHT	4.00058e+06	9.87043e+06	1.0	2.9459	0.0	3.68243
4	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	MTND3	13267.0	5.60729	0.0	49	49	1	1	0	1	1	LIGHT	879235.0	473599.0	1.0	0.538649	0.0	0.0
5	A0A1B0GT05|O35153	Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	GM45785|BET1L	10496.2|12477.4	5.06818	0.00596676	34	68	2	2	1	1	1	LIGHT	255051.0	189333.0	1.0	0.742332	0.0	0.0
6	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	4.84481	0.0	122	511	14	8	9	1	1	LIGHT	99184.7	615794.0	1.0	6.20856	0.0	0.0
7	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.32258	0.00238131	39	129	5	4	2	3	3	LIGHT	950039.0	1.07509e+06	1.0	1.53823	0.0	1.00488
8	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.94792	0.0	54	147	6	4	5	1	1	LIGHT	1.13529e+06	754885.0	1.0	0.664927	0.0	0.0
9	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	HCCS	31300.0	5.65487	0.0	70	275	13	5	4	4	3	LIGHT	3.46335e+06	1.68631e+06	1.0	0.480464	0.0	0.119503
10	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	MAPK12	42187.6	5.66168	0.0	117	386	13	5	6	3	3	LIGHT	5.0025e+06	1.62576e+06	1.0	0.312502	0.0	0.0581203
11	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	GALNT1	65125.8	5.75169	0.0	100	460	14	8	6	4	4	LIGHT	3.96924e+06	2.06582e+06	1.0	0.517683	0.0	0.0942031
12	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	AIP	38037.3	6.25557	0.0	70	266	12	7	3	7	6	LIGHT	1.30454e+07	5.77101e+06	1.0	0.470547	0.0	0.283259
13	G3UYU4|O08917	Flotillin OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1|Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1	FLOT1	42440.0|47768.7	5.63107	0.0	96	384	11	6	3	5	5	LIGHT	2.88547e+06	1.43295e+06	1.0	0.498412	0.0	0.24065
14	Q80WC3	Trinucleotide repeat-containing gene 18 protein OS=Mus musculus OX=10090 GN=Tnrc18 PE=1 SV=2	TNRC18	309100.0	5.92292	0.0147857	28	79	4	2	1	2	2	LIGHT	1.03605e+07	798179.0	1.0	0.326983	0.0	0.467062
