protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.62184	0.0	85	529	21	10	7	6	5	LIGHT	3.77524e+07	3.29767e+06	1.0	0.0925094	0.0	0.0684983
2	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.69439	0.0	120	2472	90	53	32	26	26	LIGHT	5.90737e+07	1.23952e+07	1.0	0.597922	0.0	0.344537
3	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	MTND3	13267.0	5.81775	0.000429	46	46	1	1	0	1	1	LIGHT	1.34185e+06	0.0	1.0	0.0	0.0	0.0
4	A0A1B0GT05|O35153	Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	GM45785|BET1L	10496.2|12477.4	5.7425	0.0	107	280	7	5	2	4	4	LIGHT	3.83189e+06	0.0	1.0	0.0	0.0	0.0
5	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	5.91862	0.0	135	589	15	9	7	4	4	LIGHT	6.36771e+06	8.73384e+06	1.0	1.52085	0.0	0.836623
6	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.59116	0.000159337	56	143	5	3	3	1	1	LIGHT	495147.0	104107.0	1.0	0.210254	0.0	0.0
7	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.80375	0.000157332	55	236	11	7	6	2	2	LIGHT	4.66528e+06	557823.0	1.0	0.118833	0.0	0.0292711
8	D3Z118|D3Z119|D3Z376|P97411|P97411-2|S4R217	Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=1|Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=1|Islet cell autoantigen 1 (Fragment) OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=1|Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=3|Isoform 2 of Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1|Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=1	ICA1	53467.5|36380.3|32995.7|54860.2|52783.3|35996.2	5.27187	0.00297016	39	39	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
9	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	HCCS	31300.0	5.57285	0.0	79	261	10	5	4	4	3	LIGHT	1.95157e+06	0.0	1.0	0.0	0.0	0.0
10	B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	60942.7	5.54806	0.0	63	191	6	4	2	2	2	LIGHT	1.63875e+06	0.0	1.0	0.0	0.0	0.0
