protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.44913	0.0	81	627	27	7	11	3	3	LIGHT	3.06588e+06	0.0	1.0	0.0	0.0	0.0
2	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	7.70961	0.0	72	686	102	18	17	26	16	LIGHT	5.61912e+08	8.61984e+07	1.0	0.151178	0.0	0.247906
3	Q6NXT6|Q6NXT6-2	Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1 PE=1 SV=1|Isoform 2 of Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1	TAPT1	64902.5|64187.1	5.39517	0.0102283	33	88	4	3	1	2	2	LIGHT	793625.0	1.63021e+06	1.0	1.83216	0.0	2.75305
4	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	TTR	20361.0|15224.6|15991.1	6.13778	0.0423299	22	22	1	1	0	1	1	LIGHT	2.77934e+06	0.0	1.0	0.0	0.0	0.0
5	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.36382	0.0	135	1650	55	30	22	15	13	LIGHT	3.32908e+07	7.72338e+06	1.0	0.279604	0.0	0.308423
6	###REV###Q8NEG5	Reverse sequence, was E3 ubiquitin-protein ligase ZSWIM2 OS=Homo sapiens OX=9606 GN=ZSWIM2 PE=1 SV=2	###ZSWIM2###	74623.6	5.43829	0.0350042	24	24	1	1	0	1	1	LIGHT	372915.0	0.0	1.0	0.0	0.0	0.0
7	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2	LARS1	135577.0	7.04168	0.0	122	2548	145	47	47	35	29	LIGHT	2.73116e+08	4.53291e+07	1.0	0.12159	0.0	0.26245
8	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.4401	0.0	108	480	21	9	4	8	8	LIGHT	3.73032e+07	8.71544e+06	1.0	0.239259	0.0	0.11263
9	P62633|P62633-2|P62633-3|P62633-7	Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1|Isoform 2 of Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP|Isoform 3 of Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP|Isoform 7 of Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP	CNBP	20704.0|19983.7|19654.5|18934.2	6.19817	0.0	89	320	10	5	5	2	2	LIGHT	8.64921e+06	2.70768e+06	1.0	0.44035	0.0	0.43444
10	E7EX57|I3L345|Q96FL8|Q96FL8-2|Q96FL8-3	Multidrug and toxin extrusion protein 1 OS=Homo sapiens OX=9606 GN=SLC47A1 PE=1 SV=1|Multidrug and toxin extrusion protein 1 OS=Homo sapiens OX=9606 GN=SLC47A1 PE=1 SV=1|Multidrug and toxin extrusion protein 1 OS=Homo sapiens OX=9606 GN=SLC47A1 PE=1 SV=1|Isoform 2 of Multidrug and toxin extrusion protein 1 OS=Homo sapiens OX=9606 GN=SLC47A1|Isoform 3 of Multidrug and toxin extrusion protein 1 OS=Homo sapiens OX=9606 GN=SLC47A1	SLC47A1	48565.7|29680.9|62680.4|32342.1|64420.1	5.18263	0.00509489	37	37	2	1	0	1	1	LIGHT	244779.0	0.0	1.0	0.0	0.0	0.0
11	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2	WDR76	63255.7|70466.4	5.46595	0.0	94	94	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
12	F5H658|Q14562	ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1|ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1	DHX8	134943.0|140082.0	5.89399	0.0	100	1269	57	24	25	11	10	LIGHT	1.01237e+07	4.89972e+06	1.0	0.520358	0.0	0.317994
13	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1	MCM6	93800.6	7.31544	0.0	114	1960	140	38	37	39	32	LIGHT	5.53498e+08	6.73996e+07	1.0	0.135065	0.0	0.0975904
14	Q96CU9|Q96CU9-3	FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1 PE=1 SV=2|Isoform 3 of FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1	FOXRED1	54119.8|52413.8	5.64375	0.0	83	393	11	8	5	4	4	LIGHT	2.56868e+06	820679.0	1.0	0.329416	0.0	0.0946759
