protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	A0A087WWG1|E9PIT5|Q8TE77|Q8TE77-2|Q8TE77-3	Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3|Isoform 3 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	36130.2|24894.6|73292.7|52965.7|57288.6	5.60054	0.0	69	69	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
2	Q9C0H6	Kelch-like protein 4 OS=Homo sapiens OX=9606 GN=KLHL4 PE=1 SV=2	KLHL4	81106.4	5.85538	0.0	57	495	16	11	13	1	1	LIGHT	1.68795e+06	212541.0	1.0	0.125917	0.0	0.0
3	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.38702	0.0	143	619	22	6	14	1	1	LIGHT	2.65998e+06	511696.0	1.0	0.192368	0.0	0.0
4	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	7.96206	0.0	69	787	93	20	23	20	17	LIGHT	7.72109e+08	8.43326e+07	1.0	0.0786221	0.0	0.826386
5	P82921	28S ribosomal protein S21, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS21 PE=1 SV=3	MRPS21	10909.5	6.24236	0.0	72	166	6	3	2	3	3	LIGHT	9.41537e+06	1.25469e+06	1.0	0.116256	0.0	0.0567044
6	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	TTR	20361.0|15224.6|15991.1	6.45379	0.0268779	25	25	1	1	0	1	1	LIGHT	4.16585e+06	0.0	1.0	0.0	0.0	0.0
7	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.47741	0.0	131	1670	44	28	21	12	12	LIGHT	3.58833e+07	4.74428e+06	1.0	0.123941	0.0	0.0850748
8	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2	LARS1	135577.0	7.08484	0.0	112	2567	128	48	52	24	22	LIGHT	2.72464e+08	1.51602e+07	1.0	0.0563378	0.0	0.0644042
9	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.45024	0.0	107	579	26	11	10	6	6	LIGHT	2.81447e+07	3.47949e+06	1.0	0.133086	0.0	0.102717
10	I3L1H5|Q9BZG8	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=DPH1 PE=1 SV=1|2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Homo sapiens OX=9606 GN=DPH1 PE=1 SV=2	DPH1	47964.7|49344.5	5.14436	0.000274876	50	136	4	4	3	1	1	LIGHT	218116.0	48077.4	1.0	0.220422	0.0	0.0
