protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	7.12372	0.0	83	350	16	7	4	6	6	LIGHT	1.04563e+08	1.23021e+07	1.0	0.116712	0.0	0.0177253
2	A0A0A6YWJ7|A0A0A6YXG8|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	Flvcr1	26413.6|27224.0|60942.7	5.29872	0.00720694	33	33	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.69111	0.0	67	695	29	19	10	11	11	LIGHT	4.93007e+07	1.11144e+07	1.0	0.48719	0.0	0.6203
4	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.67839	0.0	64	246	10	7	4	4	4	LIGHT	3.03208e+07	2.43367e+07	1.0	0.124208	0.0	3.26134
5	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	5.28639	0.0109251	29	29	1	1	0	1	1	LIGHT	367811.0	0.0	1.0	0.0	0.0	0.0
6	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	6.01039	0.00698158	34	34	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
7	A0A1B0GR52|A0A1B0GR53|A0A1B0GS34|A0A1B0GSF3|A0A1B0GT05|O35153	BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	Bet1l|Gm45785	13221.7|5276.65|10243.3|5393.79|10496.2|12477.4	5.39388	0.00986419	30	30	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
8	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.6354	0.0	101	537	22	11	10	6	6	LIGHT	1.49056e+07	3.93103e+07	1.0	2.57406	0.0	1.29114
9	###REV###P05532|###REV###P05532-2	Reverse sequence, was Mast/stem cell growth factor receptor Kit OS=Mus musculus OX=10090 GN=Kit PE=1 SV=3|Reverse sequence, was Isoform 2 of Mast/stem cell growth factor receptor Kit OS=Mus musculus OX=10090 GN=Kit	###Kit###	110527.0|110114.0	6.24503	0.00660859	35	65	2	1	1	1	1	LIGHT	2.36091e+06	0.0	1.0	0.0	0.0	0.0
10	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	Chst7	55302.8	5.9198	0.00986419	30	60	2	2	0	2	2	LIGHT	2.33041e+06	1.60804e+06	1.0	0.692425	0.0	0.173839
11	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	Emc7	26293.4	6.38022	0.00612651	37	96	5	3	4	1	1	LIGHT	4.94517e+06	694463.0	1.0	0.140433	0.0	0.0
12	Q9CQL4|V9GXI7	39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1|39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1	Mrpl20	17754.8|13130.1	6.72806	0.000553097	51	74	3	2	1	1	1	LIGHT	7.68696e+06	1.11124e+06	1.0	0.144562	0.0	0.0
13	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	Hccs	31300.0	6.42859	0.0	85	204	6	4	4	1	1	LIGHT	3.1507e+06	212753.0	1.0	0.0675257	0.0	0.0
14	Q8R349	Cell division cycle protein 16 homolog OS=Mus musculus OX=10090 GN=Cdc16 PE=1 SV=1	Cdc16	72212.6	7.11851	0.0	113	461	25	9	6	9	8	LIGHT	1.51925e+08	1.83291e+07	1.0	0.124428	0.0	0.0272558
15	A0A0G2JF16|Q8R344	Coiled-coil domain-containing protein 12 (Fragment) OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=1|Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2	Ccdc12	15922.8|18937.1	6.78982	0.000544959	50	94	4	2	1	2	2	LIGHT	2.27573e+07	2.01843e+06	1.0	0.0900997	0.0	0.0101988
16	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	Mapk12	42187.6	6.40069	0.0	80	352	21	5	9	3	3	LIGHT	2.1375e+07	2.5355e+06	1.0	0.121377	0.0	0.0101399
17	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	Galnt1	65125.8	6.73164	0.0	103	529	15	8	5	4	4	LIGHT	2.9347e+07	4.28889e+06	1.0	0.147734	0.0	0.0526598
18	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	Aip	38037.3	6.8207	0.0	73	302	18	7	4	6	4	LIGHT	4.8376e+07	5.83153e+06	1.0	0.121536	0.0	0.0267692
19	O08914	Fatty-acid amide hydrolase 1 OS=Mus musculus OX=10090 GN=Faah PE=1 SV=1	Faah	64206.6	5.68223	0.0205656	23	46	2	2	1	1	1	LIGHT	728380.0	0.0	1.0	0.0	0.0	0.0
20	O08917	Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1	Flot1	47768.7	6.36783	0.0	89	395	15	7	3	4	4	LIGHT	1.67259e+07	1.8895e+06	1.0	0.118368	0.0	0.0382618
21	O08919	Numb-like protein OS=Mus musculus OX=10090 GN=Numbl PE=1 SV=3	Numbl	64774.5	5.47159	0.000544959	50	107	4	3	3	1	1	LIGHT	505406.0	216752.0	1.0	0.428866	0.0	0.0
