protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	O75818|O75818-2|X6RLL4	Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=3|Isoform 2 of Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40|Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=1	RPP40	42434.2|39872.0|35167.4	6.3761	0.0	64	114	9	2	4	1	1	LIGHT	5.32556e+06	550127.0	1.0	0.103299	0.0	0.0
2	A0A087WWG1|E9PIT5|Q8TE77|Q8TE77-2|Q8TE77-3	Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3|Isoform 3 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	36130.2|24894.6|73292.7|52965.7|57288.6	6.07031	0.0	69	69	2	1	0	1	1	LIGHT	1.99103e+06	385327.0	1.0	0.193532	0.0	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	DTYMK	23975.5	7.33437	0.0	72	572	25	12	7	12	10	LIGHT	2.29528e+08	3.29822e+07	1.0	0.141956	0.0	0.0559845
4	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.61547	0.0	59	168	10	2	7	1	1	LIGHT	774611.0	0.0	1.0	0.0	0.0	0.0
5	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	8.36182	0.0	71	796	165	16	23	42	16	LIGHT	4.67726e+09	6.1833e+08	1.0	0.13806	0.0	0.217551
6	P03897	NADH-ubiquinone oxidoreductase chain 3 OS=Homo sapiens OX=9606 GN=MT-ND3 PE=1 SV=1	MT-ND3	13234.1	6.1589	0.0	62	62	2	1	0	2	1	LIGHT	3.403e+06	0.0	1.0	0.0	0.0	0.0
7	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	7.10145	0.0	138	1169	52	24	22	17	15	LIGHT	1.35725e+08	2.9575e+07	1.0	0.229012	0.0	0.158298
8	Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2	LARS1	135577.0	7.97649	0.0	126	2438	171	43	45	48	32	LIGHT	2.00648e+09	2.38342e+08	1.0	0.1308	0.0	0.586347
9	Q9P2J8	Zinc finger protein 624 OS=Homo sapiens OX=9606 GN=ZNF624 PE=1 SV=3	ZNF624	102544.0	5.37675	0.000353732	57	281	67	1	20	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
10	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.94109	0.0	113	486	33	10	10	9	7	LIGHT	1.69471e+08	3.26349e+07	1.0	0.216906	0.0	0.133984
11	Q6NX49	Zinc finger protein 544 OS=Homo sapiens OX=9606 GN=ZNF544 PE=1 SV=1	ZNF544	84141.1	5.37161	0.0	78	139	6	2	3	1	1	LIGHT	459256.0	464867.0	1.0	1.01222	0.0	0.0
12	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1	MRPL3	41886.9|40897.9|38893.2	6.88042	0.0	68	232	14	5	4	5	4	LIGHT	4.40867e+07	1.97355e+07	1.0	0.323061	0.0	1.25237
13	P53701	Cytochrome c-type heme lyase OS=Homo sapiens OX=9606 GN=HCCS PE=1 SV=1	HCCS	30981.0	7.39815	0.0	72	387	20	8	7	9	6	LIGHT	5.6712e+08	1.09735e+08	1.0	0.151991	0.0	0.189227
14	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2	WDR76	63255.7|70466.4	5.75408	0.0	94	182	8	4	1	4	3	LIGHT	3.18077e+06	1.48695e+06	1.0	0.443957	0.0	0.074296
