protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	6.58678	0.0	77	288	14	5	3	6	5	LIGHT	3.74116e+07	1.69738e+07	1.0	0.460817	0.0	0.0814916
2	A0A0A6YWJ7|A0A0A6YXG8|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	Flvcr1	26413.6|27224.0|60942.7	5.52166	0.000193237	50	50	1	1	0	1	1	LIGHT	987978.0	571645.0	1.0	0.578602	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.35634	0.0	86	1716	55	44	25	21	21	LIGHT	2.05255e+07	2.91675e+07	1.0	2.80682	0.0	4.45615
4	Q07968	Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2	F13b	78426.4	7.05968	0.02252	21	21	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
5	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.40808	0.0	88	360	17	7	2	9	7	LIGHT	2.42438e+07	1.11192e+07	1.0	0.445647	0.0	0.372613
6	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	6.19888	0.00647648	33	82	4	3	3	1	1	LIGHT	2.87001e+06	508268.0	1.0	0.177097	0.0	0.0
7	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	5.67302	0.0	62	62	1	1	0	1	1	LIGHT	1.06373e+06	465421.0	1.0	0.437535	0.0	0.0
8	A0A1B0GR52|A0A1B0GR53|A0A1B0GS34|A0A1B0GSF3|A0A1B0GT05|O35153	BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	Bet1l|Gm45785	13221.7|5276.65|10243.3|5393.79|10496.2|12477.4	5.46791	0.0	80	80	3	1	1	1	1	LIGHT	542165.0	284432.0	1.0	0.524624	0.0	0.0
9	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.41424	0.0	123	504	18	8	9	3	3	LIGHT	3.154e+07	1.96985e+07	1.0	6.94843	0.0	8.44674
10	E9Q3X4|P59438|P59438-2	Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=1|Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=2|Isoform 2 of Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5	Hps5	124140.0|128025.0|109690.0	5.31736	0.013013	25	25	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
11	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	Chst7	55302.8	5.95193	0.000213493	56	206	8	7	2	5	5	LIGHT	3.80399e+06	6.35038e+06	1.0	2.71009	0.0	2.19163
