protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	O75818|O75818-2|X6RLL4	Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=3|Isoform 2 of Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40|Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=1	RPP40	42434.2|39872.0|35167.4	5.58636	0.0	83	125	10	2	5	1	1	LIGHT	761692.0	0.0	1.0	0.0	0.0	0.0
2	Q8TE77|Q8TE77-3	Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 3 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	73292.7|57288.6	5.83255	0.0	65	94	3	2	1	2	2	LIGHT	2.50049e+06	0.0	1.0	0.0	0.0	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	DTYMK	23975.5	6.9713	0.0	84	556	24	13	13	6	5	LIGHT	8.70852e+07	3.58936e+06	1.0	0.0358832	0.0	0.274098
4	A0A1B0GTM1|A0A1B0GUM5|E7ETX0|Q8NHX9	Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=2	TPCN2	65961.1|78989.2|65122.8|85814.8	5.09289	0.0014828	42	42	1	1	0	1	1	LIGHT	258630.0	0.0	1.0	0.0	0.0	0.0
5	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.56011	0.0	65	174	8	1	5	1	1	LIGHT	683722.0	0.0	1.0	0.0	0.0	0.0
6	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	8.52172	0.0	81	701	133	15	39	20	14	LIGHT	2.68015e+09	9.93152e+07	1.0	0.0365988	0.0	0.0269272
7	Q6NXT6|Q6NXT6-2	Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1 PE=1 SV=1|Isoform 2 of Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1	TAPT1	64902.5|64187.1	5.79452	0.0132945	25	25	1	1	0	1	1	LIGHT	830761.0	213202.0	1.0	0.256634	0.0	0.0
8	P03897	NADH-ubiquinone oxidoreductase chain 3 OS=Homo sapiens OX=9606 GN=MT-ND3 PE=1 SV=1	MT-ND3	13234.1	5.65034	0.0	80	80	2	1	1	1	1	LIGHT	1.14124e+06	0.0	1.0	0.0	0.0	0.0
9	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	TTR	20361.0|15224.6|15991.1	6.96031	0.0174613	22	22	1	1	0	1	1	LIGHT	9.28043e+06	0.0	1.0	0.0	0.0	0.0
10	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.75138	0.0	119	1127	38	22	22	8	8	LIGHT	4.55659e+07	2.56034e+06	1.0	0.0580041	0.0	0.0286521
11	Q9H9Z2	Protein lin-28 homolog A OS=Homo sapiens OX=9606 GN=LIN28A PE=1 SV=1	LIN28A	23241.3	7.91874	0.0	141	983	71	11	22	15	8	LIGHT	1.05981e+09	2.74493e+07	1.0	0.0264831	0.0	0.00994494
