protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.41644	0.0	79	398	20	8	6	6	5	LIGHT	3.01919e+07	3.60229e+06	1.0	0.120074	0.0	0.0192245
2	B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	60942.7	5.43083	0.0	65	146	6	3	2	3	2	LIGHT	1.55553e+06	0.0	1.0	0.0	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.70659	0.0	92	1792	71	39	13	28	28	LIGHT	4.218e+07	1.35307e+07	1.0	0.867314	0.0	0.774658
4	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	TSEN54	59787.9|55503.7	5.53377	0.0	66	329	11	8	5	4	4	LIGHT	2.01924e+06	0.0	1.0	0.0	0.0	0.0
5	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	MTND3	13267.0	5.60531	0.000739864	46	46	1	1	0	1	1	LIGHT	844774.0	257668.0	1.0	0.305014	0.0	0.0
6	A0A1B0GT05|O35153	Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	GM45785|BET1L	10496.2|12477.4	5.89302	0.0	81	173	5	3	2	1	1	LIGHT	1.30714e+06	283804.0	1.0	0.217118	0.0	0.0
7	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	5.72251	0.0	132	652	17	11	9	3	3	LIGHT	2.06653e+06	6.05885e+06	1.0	2.77372	0.0	1.97954
8	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.16034	0.0	55	138	4	3	3	1	1	LIGHT	377835.0	0.0	1.0	0.0	0.0	0.0
9	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.61683	0.0	58	233	8	6	3	3	3	LIGHT	3.9003e+06	755018.0	1.0	0.19089	0.0	0.00642292
10	P30282|S4R216	G1/S-specific cyclin-D3 OS=Mus musculus OX=10090 GN=Ccnd3 PE=1 SV=1|G1/S-specific cyclin-D3 OS=Mus musculus OX=10090 GN=Ccnd3 PE=1 SV=1	CCND3	33073.9|9905.86	5.48984	0.0	76	76	2	1	0	0	0	LIGHT	NA	NA	NA	NA	NA	NA
11	G3UXK7|P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=1|Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	HCCS	9717.57|31300.0	6.26832	0.00143266	43	102	6	3	2	1	1	LIGHT	3.02888e+06	434879.0	1.0	0.143577	0.0	0.0
12	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	MAPK12	42187.6	6.12093	0.0	71	372	16	8	12	1	1	LIGHT	3.28302e+06	414191.0	1.0	0.126162	0.0	0.0
13	F7A4F9|Q80WC9	Beta-alanine-activating enzyme (Fragment) OS=Mus musculus OX=10090 GN=Aasdh PE=4 SV=1|Beta-alanine-activating enzyme OS=Mus musculus OX=10090 GN=Aasdh PE=1 SV=1	AASDH	23854.5|123488.0	5.04636	0.0305114	24	24	1	1	0	1	1	LIGHT	173295.0	0.0	1.0	0.0	0.0	0.0
14	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	GALNT1	65125.8	6.29802	0.0	85	590	19	10	10	4	4	LIGHT	1.07646e+07	2.00213e+06	1.0	0.175665	0.0	0.120202
15	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	AIP	38037.3	6.37725	0.0	70	339	16	8	8	3	3	LIGHT	1.18478e+07	1.83222e+06	1.0	0.159029	0.0	0.0339895
16	O08914	Fatty-acid amide hydrolase 1 OS=Mus musculus OX=10090 GN=Faah PE=1 SV=1	FAAH	64206.6	5.20385	0.00755567	33	33	1	1	0	1	1	LIGHT	244304.0	0.0	1.0	0.0	0.0	0.0
17	G3UYU4|O08917	Flotillin OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1|Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1	FLOT1	42440.0|47768.7	5.82377	0.0	85	468	8	8	7	1	1	LIGHT	1.15719e+06	143014.0	1.0	0.123588	0.0	0.0
18	O88587|O88587-2	Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt PE=1 SV=2|Isoform Soluble of Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt	COMT	29695.4|24919.6	6.28432	0.0	95	245	7	5	5	2	2	LIGHT	6.28941e+06	827035.0	1.0	0.113979	0.0	0.0745963
19	A0A5F8MPX4|Q66GT5	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus OX=10090 GN=Ptpmt1 PE=1 SV=1|Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus OX=10090 GN=Ptpmt1 PE=1 SV=1	PTPMT1	28570.8|22099.6	5.51596	0.0206475	27	79	5	3	2	3	3	LIGHT	1.50477e+06	0.0	1.0	0.0	0.0	0.0
20	P50427	Steryl-sulfatase OS=Mus musculus OX=10090 GN=Sts PE=1 SV=1	STS	67232.9	5.54114	0.0	76	199	4	3	1	2	2	LIGHT	1.0868e+06	0.0	1.0	0.0	0.0	0.0
21	P59708	Splicing factor 3B subunit 6 OS=Mus musculus OX=10090 GN=Sf3b6 PE=1 SV=1	SF3B6	14689.6	6.37624	0.0	68	296	29	6	6	5	4	LIGHT	1.90314e+07	3.40864e+06	1.0	0.158816	0.0	0.117028
22	E9PYR1|F8VQK6	F-box and leucine-rich repeat protein 18 OS=Mus musculus OX=10090 GN=Fbxl18 PE=1 SV=1|F-box and leucine-rich repeat protein 18 OS=Mus musculus OX=10090 GN=Fbxl18 PE=1 SV=1	FBXL18	85911.9|79076.7	6.01836	0.0	60	526	23	13	8	6	6	LIGHT	1.00017e+07	1.69527e+06	1.0	0.175166	0.0	0.036247
23	F8VQK3	Guanylate cyclase 1, soluble, alpha 2 OS=Mus musculus OX=10090 GN=Gucy1a2 PE=1 SV=1	GUCY1A2	82918.7	5.06394	0.00999737	32	32	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
