protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	6.47519	0.0	87	328	14	5	3	6	5	LIGHT	4.03827e+07	4.526e+06	1.0	0.112644	0.0	0.0455905
2	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.5613	0.0	89	1886	68	45	15	32	32	LIGHT	6.19772e+07	2.15659e+07	1.0	0.487725	0.0	0.327859
3	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.53454	0.0	63	383	19	9	7	6	6	LIGHT	2.95643e+07	5.79054e+06	1.0	0.125212	0.0	0.295264
4	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	5.43057	0.000198926	56	102	2	2	0	2	2	LIGHT	1.14184e+06	0.0	1.0	0.0	0.0	0.0
5	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	5.60715	0.00649444	32	32	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
6	A0A1B0GQV3|A0A1B0GT05|O35153	BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	Bet1l|Gm45785	9848.11|10496.2|12477.4	5.68416	0.00137221	47	47	1	1	0	1	1	LIGHT	1.10804e+06	149949.0	1.0	0.135328	0.0	0.0
7	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.26388	0.0	119	405	14	7	4	5	4	LIGHT	9.16733e+06	1.5203e+07	1.0	1.50206	0.0	1.51207
8	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	Chst7	55302.8	5.85784	0.000881834	49	195	10	7	4	5	5	LIGHT	4.54197e+06	2.55429e+06	1.0	0.562047	0.0	0.110497
9	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	Emc7	26293.4	6.17326	0.000206526	58	105	4	3	2	2	2	LIGHT	6.25749e+06	836983.0	1.0	0.135633	0.0	0.00804561
10	Q9CQL4|V9GX65|V9GXI7	39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1|39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1|39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1	Mrpl20	17754.8|11719.6|13130.1	6.44591	0.000223764	62	62	2	1	0	1	1	LIGHT	3.77932e+06	486722.0	1.0	0.128786	0.0	0.0
11	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	Hccs	31300.0	6.02671	0.000191571	54	119	5	3	1	4	2	LIGHT	4.59659e+06	0.0	1.0	0.0	0.0	0.0
12	Q8R349	Cell division cycle protein 16 homolog OS=Mus musculus OX=10090 GN=Cdc16 PE=1 SV=1	Cdc16	72212.6	6.94759	0.0	108	432	20	9	7	6	6	LIGHT	5.98251e+07	5.17652e+06	1.0	0.084359	0.0	0.0629839
13	A0A0G2JF16|Q8R344	Coiled-coil domain-containing protein 12 (Fragment) OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=1|Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2	Ccdc12	15922.8|18937.1	6.45959	0.00197466	44	96	5	3	1	3	3	LIGHT	1.81357e+07	1.26466e+06	1.0	0.0813365	0.0	0.0195119
14	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	Mapk12	42187.6	6.36098	0.0	77	387	20	7	13	3	3	LIGHT	1.41458e+07	1.31179e+06	1.0	0.0672226	0.0	0.0665034
15	Q80WC9	Beta-alanine-activating enzyme OS=Mus musculus OX=10090 GN=Aasdh PE=1 SV=1	Aasdh	123488.0	5.05071	0.00139276	48	72	3	2	1	2	2	LIGHT	399552.0	0.0	1.0	0.0	0.0	0.0
16	O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	Galnt1	65125.8	6.66269	0.0	93	359	15	7	6	5	4	LIGHT	3.1378e+07	3.34807e+06	1.0	0.107001	0.0	0.0671051
17	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	Aip	38037.3	6.08449	0.0	89	250	14	5	2	4	3	LIGHT	9.22586e+06	804341.0	1.0	0.0898492	0.0	0.0183943
