protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	A0A087WWG1|Q8TE77|Q8TE77-2	Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1|Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	36130.2|73292.7|52965.7	5.42621	0.0	72	133	3	2	0	2	2	LIGHT	1.10233e+06	0.0	1.0	0.0	0.0	0.0
2	P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	DTYMK	23975.5	6.48984	0.0	89	654	26	13	12	7	7	LIGHT	3.75403e+07	3.08565e+06	1.0	0.042299	0.0	0.547864
3	Q9C0H6	Kelch-like protein 4 OS=Homo sapiens OX=9606 GN=KLHL4 PE=1 SV=2	KLHL4	81106.4	5.90077	0.0	59	444	18	8	10	6	6	LIGHT	6.82016e+06	0.0	1.0	0.0	0.0	0.0
4	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	5.68222	0.0	70	355	14	3	6	3	3	LIGHT	4.8145e+06	0.0	1.0	0.0	0.0	0.0
5	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	7.7045	0.0	71	843	113	22	40	17	13	LIGHT	5.93755e+08	2.10794e+07	1.0	0.0351164	0.0	0.0231233
6	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	TTR	20361.0|15224.6|15991.1	6.34698	0.033858	23	23	1	1	0	1	1	LIGHT	2.66071e+06	0.0	1.0	0.0	0.0	0.0
7	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.50009	0.0	103	1557	56	29	37	5	5	LIGHT	2.1829e+07	1.56385e+06	1.0	0.0626418	0.0	0.056082
8	###REV###Q8NEG5	Reverse sequence, was E3 ubiquitin-protein ligase ZSWIM2 OS=Homo sapiens OX=9606 GN=ZSWIM2 PE=1 SV=2	###ZSWIM2###	74623.6	5.59983	0.0304892	24	24	1	1	0	1	1	LIGHT	545683.0	0.0	1.0	0.0	0.0	0.0
9	###REV###Q5VTY9|###REV###Q5VTY9-3|###REV###Q5VTY9-7	Reverse sequence, was Protein-cysteine N-palmitoyltransferase HHAT OS=Homo sapiens OX=9606 GN=HHAT PE=1 SV=1|Reverse sequence, was Isoform 3 of Protein-cysteine N-palmitoyltransferase HHAT OS=Homo sapiens OX=9606 GN=HHAT|Reverse sequence, was Isoform 7 of Protein-cysteine N-palmitoyltransferase HHAT OS=Homo sapiens OX=9606 GN=HHAT	###HHAT###	58073.2|61122.7|57768.1	5.74711	0.0183433	27	27	1	1	0	1	1	LIGHT	1.06609e+06	0.0	1.0	0.0	0.0	0.0
10	Q9P2J9	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDP2 PE=2 SV=2	PDP2	60396.1	5.57709	0.0	69	130	2	2	0	2	2	LIGHT	1.45606e+06	0.0	1.0	0.0	0.0	0.0
