protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.20838	0.0	70	382	28	8	2	9	8	LIGHT	1.5348e+07	1.51545e+07	1.0	1.00441	0.0	0.25743
2	A0A0A6YWJ7|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	26413.6|60942.7	4.84385	0.00893921	32	32	2	1	0	1	1	LIGHT	349115.0	294912.0	1.0	0.84474	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	6.01355	0.0	102	2039	59	44	37	10	10	LIGHT	3.13681e+06	1.03788e+07	1.0	5.44536	0.0	8.18407
4	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	TSEN54	59787.9|55503.7	5.6416	0.00040024	52	238	8	5	3	3	3	LIGHT	2.95659e+06	1.78502e+06	1.0	0.605278	0.0	0.111354
5	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	5.65157	0.0	94	502	14	9	9	2	2	LIGHT	367079.0	2.52867e+06	1.0	6.6306	0.0	1.45541
6	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.9624	0.00118926	42	70	4	2	2	1	1	LIGHT	1.27342e+06	1.92141e+06	1.0	1.50886	0.0	0.0
7	A0A2I3BPY7|Q9EP71	Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1|Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1	RAI14	106335.0|109470.0	5.89177	0.0	107	1202	48	24	8	21	20	LIGHT	1.21969e+07	1.71975e+07	1.0	1.36757	0.0	0.533141
8	A0A1D5RLD0|B8JK07|G3UW78|G3UW81|Q8VCA4|Q99N16|Q99N17|Q99N18|Q99N19|Q9EP75	Cytochrome P450, family 4, subfamily f, polypeptide 18 (Fragment) OS=Mus musculus OX=10090 GN=Cyp4f18 PE=1 SV=1|Cytochrome P450, family 4, subfamily f, polypeptide 13 OS=Mus musculus OX=10090 GN=Cyp4f13 PE=1 SV=1|Cytochrome P450, family 4, subfamily f, polypeptide 17 OS=Mus musculus OX=10090 GN=Cyp4f17 PE=1 SV=1|Cytochrome P450, family 4, subfamily f, polypeptide 40 OS=Mus musculus OX=10090 GN=Cyp4f40 PE=1 SV=1|Cyp4f15 protein OS=Mus musculus OX=10090 GN=Cyp4f15 PE=1 SV=1|Cytochrome P450 4F3 OS=Mus musculus OX=10090 GN=Cyp4f3 PE=1 SV=2|Cytochrome P450 CYP4F16 OS=Mus musculus OX=10090 GN=Cyp4f16 PE=1 SV=1|Cytochrome P450 CYP4F15 OS=Mus musculus OX=10090 GN=Cyp4f15 PE=1 SV=1|Cytochrome P450 CYP4F13 OS=Mus musculus OX=10090 GN=Cyp4f13 PE=1 SV=1|Leukotriene-B4 omega-hydroxylase 3 OS=Mus musculus OX=10090 GN=Cyp4f14 PE=1 SV=1	CYP4F18|CYP4F13|CYP4F17|CYP4F40|CYP4F15|CYP4F3|CYP4F16|CYP4F14	20267.3|48020.6|61275.2|60855.3|61161.5|60488.4|60761.3|61968.8|60526.1|60332.1	5.68151	0.000904323	46	46	2	1	0	1	1	LIGHT	624489.0	331337.0	1.0	0.530573	0.0	0.0
9	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	HCCS	31300.0	5.64371	0.0	64	202	9	4	0	4	4	LIGHT	2.65054e+06	3.54619e+06	1.0	1.35201	0.0	0.222739
10	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	MAPK12	42187.6	5.61452	0.0	73	288	12	6	2	5	5	LIGHT	3.34334e+06	2.55801e+06	1.0	0.798212	0.0	0.18304
