protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8TE77|Q8TE77-2	Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2|Isoform 2 of Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3	SSH3	73292.7|52965.7	5.47209	0.0	85	202	4	4	1	3	3	LIGHT	1.52095e+06	0.0	1.0	0.0	0.0	0.0
2	P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	DTYMK	23975.5	6.61323	0.0	78	657	23	13	13	4	4	LIGHT	2.80107e+07	967310.0	1.0	0.0287854	0.0	0.0381211
3	A0A1B0GTM1|A0A1B0GUM5|A0A1B0GVQ7|E7ETX0|Q8NHX9	Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Ion_trans domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=1|Two pore calcium channel protein 2 OS=Homo sapiens OX=9606 GN=TPCN2 PE=1 SV=2	TPCN2|A0A1B0GVQ7	65961.1|78989.2|42690.4|65122.8|85814.8	5.014	0.00366604	38	38	1	1	0	1	1	LIGHT	272017.0	0.0	1.0	0.0	0.0	0.0
4	Q9C0H6	Kelch-like protein 4 OS=Homo sapiens OX=9606 GN=KLHL4 PE=1 SV=2	KLHL4	81106.4	6.00072	0.0	58	387	13	6	11	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
5	A0A087X165|Q9C0H9	SRC kinase-signaling inhibitor 1 OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=1|SRC kinase signaling inhibitor 1 OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=4	SRCIN1	130668.0|127198.0	5.84817	0.0	75	349	10	8	0	6	6	LIGHT	7.50282e+06	0.0	1.0	0.0	0.0	0.0
6	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2	PBX2	46137.6	6.22767	0.0	71	242	16	2	9	1	1	LIGHT	3.50119e+06	0.0	1.0	0.0	0.0	0.0
7	P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	23619.4	8.02309	0.0	75	821	105	20	36	15	13	LIGHT	8.31244e+08	2.56053e+07	1.0	0.0258152	0.0	0.856832
8	A0A087WT59|A0A087WV45|P02766	Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1|Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	TTR	20361.0|15224.6|15991.1	6.43374	0.0350472	22	22	2	1	0	1	1	LIGHT	3.2841e+06	0.0	1.0	0.0	0.0	0.0
9	P35251|P35251-2	Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4|Isoform 2 of Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1	RFC1	128688.0|128617.0	6.53152	0.0	113	1780	57	31	40	5	5	LIGHT	2.62696e+07	1.24681e+06	1.0	0.0447665	0.0	0.0288999
10	Q9BZG1	Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1	RAB34	29482.1	6.56895	0.0	119	487	18	9	11	3	3	LIGHT	2.08853e+07	1.29433e+06	1.0	0.0568389	0.0	0.0533133
11	I3L1H5|Q9BZG8	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=DPH1 PE=1 SV=1|2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Homo sapiens OX=9606 GN=DPH1 PE=1 SV=2	DPH1	47964.7|49344.5	5.59748	0.000128485	50	234	8	6	2	5	4	LIGHT	2.55702e+06	0.0	1.0	0.0	0.0	0.0
12	E7ETU7|H0Y9G6|P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1|39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1	MRPL3	41886.9|40897.9|38893.2	6.59415	0.0	82	451	11	9	5	5	5	LIGHT	2.79794e+07	2.76813e+06	1.0	0.093506	0.0	0.031897
13	A0A0C4DFX7|Q9H967	WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=1|WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2	WDR76	63255.7|70466.4	5.45764	0.0	65	171	5	4	1	4	4	LIGHT	2.3399e+06	0.0	1.0	0.0	0.0	0.0
14	Q14563	Semaphorin-3A OS=Homo sapiens OX=9606 GN=SEMA3A PE=1 SV=1	SEMA3A	89916.4	5.46099	0.00839949	33	56	3	1	2	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
