protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	6.6685	0.0	84	318	16	6	3	6	5	LIGHT	4.95908e+07	1.22707e+07	1.0	0.24087	0.0	0.327589
2	A0A0R4J1R7|Q9CZL5	Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus OX=10090 GN=Pcbd2 PE=1 SV=1|Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus OX=10090 GN=Pcbd2 PE=1 SV=2	Pcbd2	11789.9|14877.6	5.98258	0.00731529	31	31	2	1	1	1	1	LIGHT	1.47766e+06	420726.0	1.0	0.284725	0.0	0.0
3	A0A0A6YWJ7|A0A0A6YXG8|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	Flvcr1	26413.6|27224.0|60942.7	5.42503	0.0151745	24	24	2	1	0	1	1	LIGHT	739546.0	264930.0	1.0	0.358233	0.0	0.0
4	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.47216	0.0	107	1541	65	39	24	19	19	LIGHT	3.30149e+07	2.00779e+07	1.0	1.2445	0.0	0.915005
5	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.36678	0.0	82	317	15	6	6	4	4	LIGHT	1.86303e+07	5.13499e+06	1.0	0.25191	0.0	0.123295
6	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	5.53298	0.00117548	43	43	2	1	1	1	1	LIGHT	668946.0	0.0	1.0	0.0	0.0	0.0
7	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	5.71727	0.0151745	24	24	1	1	0	1	1	LIGHT	1.17614e+06	298225.0	1.0	0.253562	0.0	0.0
8	A0A1B0GT05|O35153	Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	Gm45785|Bet1l	10496.2|12477.4	5.83324	0.00210118	40	78	4	2	1	2	2	LIGHT	2.28999e+06	555135.0	1.0	0.24369	0.0	0.0252215
9	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.36666	0.0	136	479	19	9	8	5	3	LIGHT	5.0572e+06	1.72742e+07	1.0	3.81409	0.0	1.17373
10	A2AI05	NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1 PE=2 SV=1	Ndor1	67824.9	6.26731	0.00664795	32	79	5	3	3	2	1	LIGHT	3.90209e+06	985519.0	1.0	0.257776	0.0	0.0324455
