protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	6.68502	0.0	60	291	14	5	3	6	5	LIGHT	6.02531e+07	3.77416e+06	1.0	0.0718862	0.0	0.216881
2	A0A0R4J1R7|Q9CZL5	Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus OX=10090 GN=Pcbd2 PE=1 SV=1|Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus OX=10090 GN=Pcbd2 PE=1 SV=2	Pcbd2	11789.9|14877.6	6.10546	0.00862591	35	35	2	1	0	1	1	LIGHT	1.84338e+06	113476.0	1.0	0.0615589	0.0	0.0
3	A0A0A6YWJ7|A0A0A6YXG8|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	Flvcr1	26413.6|27224.0|60942.7	5.23991	0.00862591	35	35	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
4	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.65294	0.0	69	891	29	23	14	11	11	LIGHT	4.05971e+07	4.71067e+06	1.0	0.268199	0.0	0.26468
5	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.57448	0.0	62	244	12	6	7	2	2	LIGHT	1.34773e+07	864870.0	1.0	0.0696449	0.0	0.0354759
6	Q8BT07|Q8BT07-2	Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55 PE=1 SV=2|Isoform 2 of Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55	Cep55	54239.1|54111.0	5.6521	0.0	73	173	4	4	3	1	1	LIGHT	663936.0	91658.4	1.0	0.138053	0.0	0.0
7	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	5.6424	0.00389484	41	94	3	3	0	3	3	LIGHT	3.11471e+06	0.0	1.0	0.0	0.0	0.0
8	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	5.76241	0.00750613	36	36	2	1	0	1	1	LIGHT	1.30634e+06	0.0	1.0	0.0	0.0	0.0
9	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.57568	0.0	115	606	22	11	4	10	9	LIGHT	3.1771e+07	2.79302e+07	1.0	0.95638	0.0	0.71893
10	###REV###P14094	Reverse sequence, was Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus OX=10090 GN=Atp1b1 PE=1 SV=1	###Atp1b1###	35571.1	6.3855	0.0111513	31	30	1	1	0	1	1	LIGHT	3.13976e+06	0.0	1.0	0.0	0.0	0.0
