protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.40608	0.0	83	364	21	8	4	7	6	LIGHT	1.77325e+07	8.70502e+06	1.0	0.491071	0.0	0.0914305
2	A0A0A6YWJ7|B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=1 SV=1|Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	26413.6|60942.7	5.00263	0.00127226	42	42	1	1	0	1	1	LIGHT	436225.0	295175.0	1.0	0.676658	0.0	0.0
3	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.94639	0.0	89	1734	51	38	27	13	13	LIGHT	2.97242e+06	1.06115e+07	1.0	3.81366	0.0	3.6861
4	Q6PFX9|Q6PFX9-2	Poly [ADP-ribose] polymerase tankyrase-1 OS=Mus musculus OX=10090 GN=Tnks PE=1 SV=1|Isoform 2 of Poly [ADP-ribose] polymerase tankyrase-1 OS=Mus musculus OX=10090 GN=Tnks	TNKS	142510.0|107952.0	4.94523	0.000389257	46	80	8	2	4	2	2	LIGHT	0.0	448288.0	1.0	inf	0.0	nan
5	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	TSEN54	59787.9|55503.7	5.54009	0.00023663	56	185	6	5	4	2	2	LIGHT	1.5937e+06	458913.0	1.0	0.292408	0.0	0.0139529
6	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	6.93399	0.0	104	406	12	8	7	1	1	LIGHT	559826.0	233154.0	1.0	0.416476	0.0	0.0
7	###REV###S4R2K9	Reverse sequence, was Ankyrin-3 (Fragment) OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1	###ANK3###	285893.0	NA	0.0142071	29	54	3	2	0	1	1	LIGHT	8.58455e+06	2.89599e+06	1.0	0.337349	0.0	0.0
8	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.27394	0.01113	30	30	1	1	0	1	1	LIGHT	287830.0	905474.0	1.0	3.14587	0.0	0.0
9	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.68079	0.000574603	45	116	5	3	1	3	2	LIGHT	2.89152e+06	1.95568e+06	1.0	0.621885	0.0	0.134118
10	A0A2I3BPY7|Q9EP71	Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1|Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1	RAI14	106335.0|109470.0	5.99713	0.0	100	1102	52	23	8	19	17	LIGHT	1.66577e+07	1.09362e+07	1.0	0.639221	0.0	0.36214
