protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	Tm9sf4	75442.3	6.82269	0.0	81	295	16	6	2	6	6	LIGHT	7.75782e+07	3.97876e+07	1.0	0.515414	0.0	0.0246323
2	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	Cenpf	345340.0	6.58812	0.0	69	844	29	24	17	8	8	LIGHT	2.46911e+07	1.75084e+07	1.0	2.89765	0.0	6.69644
3	Q9CXG3	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2	Ppil4	57707.8	6.49899	0.0	93	224	8	5	3	3	3	LIGHT	1.55834e+07	2.54752e+07	1.0	0.638933	0.0	3.64111
4	Q8BT07|Q8BT07-2	Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55 PE=1 SV=2|Isoform 2 of Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55	Cep55	54239.1|54111.0	5.62998	0.0	67	171	4	4	3	1	1	LIGHT	865129.0	575464.0	1.0	0.665178	0.0	0.0
5	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	Tsen54	59787.9|55503.7	6.03627	0.00395189	38	61	3	2	0	2	2	LIGHT	6.10839e+06	3.26916e+06	1.0	0.544026	0.0	0.0194904
6	P03899	NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=Mtnd3 PE=1 SV=3	Mtnd3	13267.0	5.66631	0.0	55	55	1	1	0	1	1	LIGHT	950502.0	501928.0	1.0	0.528066	0.0	0.0
7	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	Maged1	85673.8	6.56809	0.0	122	392	13	7	3	8	6	LIGHT	0.0	3.3774e+07	1.0	inf	0.0	nan
8	E9QLQ3|Q61409	Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde3b PE=1 SV=1|cGMP-inhibited 3',5'-cyclic phosphodiesterase B OS=Mus musculus OX=10090 GN=Pde3b PE=1 SV=2	Pde3b	123759.0|123844.0	5.55919	0.0145234	26	26	1	1	0	1	1	LIGHT	457800.0	2.81761e+06	1.0	6.15467	0.0	0.0
9	A2AI05	NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1 PE=2 SV=1	Ndor1	67824.9	6.21649	0.0	61	86	2	2	1	1	1	LIGHT	1.95137e+06	915863.0	1.0	0.469345	0.0	0.0
10	E9Q3X4|F6Q7C7|P59438|P59438-2	Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=1|Hermansky-Pudlak syndrome 5 protein homolog (Fragment) OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=1|Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=2|Isoform 2 of Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5	Hps5	124140.0|60203.5|128025.0|109690.0	5.74046	0.00269639	41	41	1	1	0	1	1	LIGHT	979429.0	0.0	1.0	0.0	0.0	0.0
11	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	Chst7	55302.8	5.50901	0.00219298	42	96	4	3	2	1	1	LIGHT	693604.0	1.28645e+06	1.0	1.85473	0.0	0.0
12	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	Emc7	26293.4	5.97634	0.00395189	38	63	4	2	0	2	2	LIGHT	3.65352e+06	2.7798e+06	1.0	0.768696	0.0	0.0671686
13	A0A2I3BPY7|Q9EP71	Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1|Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1	Rai14	106335.0|109470.0	6.72439	0.0	95	1400	56	26	5	26	23	LIGHT	1.06896e+08	7.74135e+07	1.0	0.707411	0.0	0.200613
14	A0A1D5RLD0|G3UW81|Q99N16|Q99N17|Q9EP75	Cytochrome P450, family 4, subfamily f, polypeptide 18 (Fragment) OS=Mus musculus OX=10090 GN=Cyp4f18 PE=1 SV=1|Cytochrome P450, family 4, subfamily f, polypeptide 40 OS=Mus musculus OX=10090 GN=Cyp4f40 PE=1 SV=1|Cytochrome P450 4F3 OS=Mus musculus OX=10090 GN=Cyp4f3 PE=1 SV=2|Cytochrome P450 CYP4F16 OS=Mus musculus OX=10090 GN=Cyp4f16 PE=1 SV=1|Leukotriene-B4 omega-hydroxylase 3 OS=Mus musculus OX=10090 GN=Cyp4f14 PE=1 SV=1	Cyp4f18|Cyp4f40|Cyp4f3|Cyp4f16|Cyp4f14	20267.3|60855.3|60488.4|60761.3|60332.1	5.91859	0.0145234	26	26	2	1	0	1	1	LIGHT	1.68138e+06	721980.0	1.0	0.429397	0.0	0.0
15	Q9CQL4|V9GXI7	39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1|39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1	Mrpl20	17754.8|13130.1	5.52099	0.0217168	23	23	2	1	0	2	1	LIGHT	1.05368e+07	8.3532e+06	1.0	0.607839	0.0	0.37575
16	P53702	Cytochrome c-type heme lyase OS=Mus musculus OX=10090 GN=Hccs PE=1 SV=2	Hccs	31300.0	5.84188	0.000609137	48	122	6	3	1	3	3	LIGHT	6.62679e+06	2.50058e+06	1.0	0.435899	0.0	0.105644
17	Q8R349	Cell division cycle protein 16 homolog OS=Mus musculus OX=10090 GN=Cdc16 PE=1 SV=1	Cdc16	72212.6	6.81388	0.0	108	408	23	7	1	10	7	LIGHT	8.87702e+07	4.38255e+07	1.0	0.492817	0.0	0.0842402
18	A0A0G2JF16|Q8R344	Coiled-coil domain-containing protein 12 (Fragment) OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=1|Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2	Ccdc12	15922.8|18937.1	5.23572	0.00219298	42	72	3	2	1	1	1	LIGHT	4.00621e+06	1.75546e+06	1.0	0.438184	0.0	0.0
19	O08911	Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1	Mapk12	42187.6	6.49807	0.0	64	301	22	5	3	6	5	LIGHT	2.72717e+07	1.18422e+07	1.0	0.416938	0.0	0.22045
20	O08915	AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	Aip	38037.3	6.61697	0.0	70	214	18	5	1	7	5	LIGHT	3.89344e+07	2.41667e+07	1.0	0.607621	0.0	0.0880504
